timestamp,intersection_id,vehicle_count,congestion_level,hour,minute,day_of_week,is_weekend,is_olympic_event,is_rush_hour,hour_sin,hour_cos,is_olympic_corridor,prev_hour_vehicles
2025-09-01 00:00:00,A1,10,0.22829191359784293,0,0,0,False,False,0,0.0,1.0,0,10.0
2025-09-01 00:05:00,A1,7,0.23405376110772097,0,5,0,False,False,0,0.0,1.0,0,7.0
2025-09-01 00:10:00,A1,9,0.132373783925918,0,10,0,False,False,0,0.0,1.0,0,9.0
2025-09-01 00:15:00,A1,8,0.128953598678351,0,15,0,False,False,0,0.0,1.0,0,8.0
2025-09-01 00:20:00,A1,10,0.13024299205598094,0,20,0,False,False,0,0.0,1.0,0,10.0
2025-09-01 00:25:00,A1,11,0.13290399816515708,0,25,0,False,False,0,0.0,1.0,0,11.0
2025-09-01 00:30:00,A1,10,0.21170012501935742,0,30,0,False,False,0,0.0,1.0,0,10.0
2025-09-01 00:35:00,A1,11,0.1621992363059328,0,35,0,False,False,0,0.0,1.0,0,11.0
2025-09-01 00:40:00,A1,9,0.15226546090260112,0,40,0,False,False,0,0.0,1.0,0,9.0
2025-09-01 00:45:00,A1,10,0.16678070971588915,0,45,0,False,False,0,0.0,1.0,0,10.0
2025-09-01 00:50:00,A1,11,0.14470078018024074,0,50,0,False,False,0,0.0,1.0,0,11.0
2025-09-01 00:55:00,A1,13,0.11800007025720949,0,55,0,False,False,0,0.0,1.0,0,13.0
2025-09-01 01:00:00,A1,10,0.16213235322157427,1,0,0,False,False,0,0.25881904510252074,0.9659258262890683,0,10.0
2025-09-01 01:05:00,A1,8,0.09912263237572985,1,5,0,False,False,0,0.25881904510252074,0.9659258262890683,0,7.0
2025-09-01 01:10:00,A1,10,0.10446258384565892,1,10,0,False,False,0,0.25881904510252074,0.9659258262890683,0,9.0
2025-09-01 01:15:00,A1,12,0.3157239064907633,1,15,0,False,False,0,0.25881904510252074,0.9659258262890683,0,8.0
2025-09-01 01:20:00,A1,10,0.19551170361196435,1,20,0,False,False,0,0.25881904510252074,0.9659258262890683,0,10.0
2025-09-01 01:25:00,A1,8,0.22633462058944037,1,25,0,False,False,0,0.25881904510252074,0.9659258262890683,0,11.0
2025-09-01 01:30:00,A1,9,0.13699804137542032,1,30,0,False,False,0,0.25881904510252074,0.9659258262890683,0,10.0
